year,static_share,dynamic_share,linear_share,country,static_change,dynamic_change,divergence,linear_change
2026,0.6799806396050976,0.681998787177738,0.6742174481059369,Canada,0.001826772861318604,0.0018654644613831373,0.0020181475726404052,0.004120615799530825
2027,0.6818074124664162,0.6822848620417061,0.6783380639054677,Canada,0.001826772861318604,0.0002860748639681443,0.00047744957528994547,0.004120615799530825
2028,0.6836341853277348,0.682899314995135,0.6824586797049985,Canada,0.001826772861318604,0.000614452953428879,-0.0007348703325997796,0.004120615799530825
2029,0.6854609581890534,0.6831465800262359,0.6865792955045276,Canada,0.001826772861318604,0.00024726503110084064,-0.002314378162817543,0.004120615799529048
2030,0.687287731050372,0.6838870478947006,0.6906999113040584,Canada,0.001826772861318604,0.0007404678684647115,-0.0034006831556714356,0.004120615799530825
2031,0.6891145039116906,0.6846017182545059,0.6948205271035892,Canada,0.001826772861318604,0.000714670359805325,-0.004512785657184715,0.004120615799530825
2032,0.6909412767730092,0.6853261749178737,0.69894114290312,Canada,0.001826772861318604,0.0007244566633678451,-0.005615101855135474,0.004120615799530825
2033,0.6927680496343278,0.6862584719933477,0.7030617587026509,Canada,0.001826772861318604,0.0009322970754739313,-0.0065095776409801465,0.004120615799530825
2034,0.6945948224956464,0.687247156571223,0.7071823745021817,Canada,0.001826772861318604,0.0009886845778753761,-0.007347665924423374,0.004120615799530825
2035,0.696421595356965,0.6883536861976008,0.7113029903017125,Canada,0.001826772861318604,0.0011065296263778057,-0.008067909159364173,0.004120615799530825
2022,0.284272137919107,0.284272137919107,0.2624209571578664,China,,,0.0,
2023,0.2964741063080227,0.2964741063080227,0.2680149059984558,China,0.012201968388915685,0.012201968388915685,0.0,0.005593948840589391
2024,0.30867607469693836,0.3087646368517441,0.2736088548390452,China,0.012201968388915685,0.012290530543721423,8.856215480573804e-05,0.005593948840589391
2025,0.32087804308585405,0.3202536717113025,0.27920280367963457,China,0.012201968388915685,0.011489034859558378,-0.0006243713745515689,0.005593948840589391
2026,0.33308001147476973,0.33189386245208125,0.28479675252022396,China,0.012201968388915685,0.011640190740778766,-0.0011861490226884874,0.005593948840589391
2027,0.3452819798636854,0.34340593126234553,0.29039070136081335,China,0.012201968388915685,0.011512068810264287,-0.0018760486013398858,0.005593948840589391
2028,0.3574839482526011,0.3545032212904186,0.29598465020140274,China,0.012201968388915685,0.011097290028073081,-0.0029807269621824894,0.005593948840589391
2029,0.3696859166415168,0.3661272331445815,0.30157859904199213,China,0.012201968388915685,0.011624011854162897,-0.0035586834969352776,0.005593948840589391
2030,0.3818878850304325,0.3777512449987444,0.3071725478825815,China,0.012201968388915685,0.011624011854162897,-0.004136640031688066,0.005593948840589391
2031,0.39408985341934816,0.3893752568529073,0.3127664967231709,China,0.012201968388915685,0.011624011854162897,-0.004714596566440854,0.005593948840589391
2032,0.40629182180826384,0.40098782395947163,0.3183604455637603,China,0.012201968388915685,0.011612567106564331,-0.005303997848792208,0.005593948840589391
2033,0.4184937901971795,0.41260039106603597,0.3239543944043497,China,0.012201968388915685,0.011612567106564331,-0.005893399131143562,0.005593948840589391
2034,0.4306957585860952,0.4242129581726003,0.3295483432449391,China,0.012201968388915685,0.011612567106564331,-0.006482800413494916,0.005593948840589391
2035,0.4428977269750109,0.4358255252791646,0.3351422920855285,China,0.012201968388915685,0.011612567106564331,-0.00707220169584627,0.005593948840589391
2022,0.07484235959691202,0.07484235959691202,0.08192106693073864,Czechia,,,0.0,
2023,0.08020089556496525,0.08020089556496525,0.0845471334279706,Czechia,0.005358535968053232,0.005358535968053232,0.0,0.0026260664972319603
2024,0.08555943153301848,0.08587199005528823,0.08717319992520256,Czechia,0.005358535968053232,0.005671094490322978,0.0003125585222697458,0.0026260664972319603
2025,0.09091796750107171,0.09045672616910011,0.08979926642243452,Czechia,0.005358535968053232,0.0045847361138118825,-0.0004612413319716041,0.0026260664972319603
2026,0.09627650346912495,0.0950209871053009,0.09242533291966559,Czechia,0.005358535968053232,0.004564260936200784,-0.0012555163638240524,0.002626066497231072
2027,0.10163503943717818,0.10039099062514571,0.09505139941689755,Czechia,0.005358535968053232,0.005370003519844818,-0.0012440488120324666,0.0026260664972319603
2028,0.10699357540523141,0.1076583117764362,0.09767746591412951,Czechia,0.005358535968053232,0.007267321151290487,0.0006647363712047882,0.0026260664972319603
2029,0.11235211137328464,0.11561857723149604,0.10030353241136147,Czechia,0.005358535968053232,0.007960265455059845,0.003266465858211401,0.0026260664972319603
2030,0.11771064734133788,0.12407079579769434,0.10292959890859343,Czechia,0.005358535968053232,0.008452218566198294,0.0063601484563564625,0.0026260664972319603
2031,0.12306918330939111,0.13313804927585562,0.1055556654058254,Czechia,0.005358535968053232,0.009067253478161286,0.010068865966464516,0.0026260664972319603
2032,0.12842771927744434,0.14251761041139893,0.10818173190305735,Czechia,0.005358535968053232,0.009379561135543307,0.01408989113395459,0.0026260664972319603
2033,0.1337862552454976,0.15170110939748058,0.11080779840028931,Czechia,0.005358535968053246,0.009183498986081645,0.01791485415198299,0.0026260664972319603
2034,0.13914479121355083,0.16191583586878064,0.11343386489752127,Czechia,0.005358535968053246,0.010214726471300062,0.022771044655229805,0.0026260664972319603
2035,0.14450332718160408,0.17260441390002187,0.11605993139475324,Czechia,0.005358535968053246,0.010688578031241236,0.028101086718417795,0.0026260664972319603
2022,0.6047266514806379,0.6047266514806379,0.5983238057276523,Denmark,,,0.0,
2023,0.6483274551853943,0.6483274551853943,0.623636886454598,Denmark,0.043600803704756386,0.043600803704756386,0.0,0.025313080726945714
2024,0.6919282588901506,0.6915002826058457,0.6489499671815437,Denmark,0.043600803704756386,0.043172827420451476,-0.0004279762843049095,0.025313080726945714
2025,0.735529062594907,0.7381600812583525,0.6742630479084895,Denmark,0.043600803704756386,0.0466597986525068,0.0026310186634455057,0.025313080726945714
2026,0.7791298662996634,0.7843329030644876,0.6995761286354281,Denmark,0.043600803704756386,0.04617282180613502,0.005203036764824143,0.025313080726938608
2027,0.8227306700044198,0.8300472013481022,0.7248892093623738,Denmark,0.043600803704756386,0.04571429828361462,0.007316531343682375,0.025313080726945714
2028,0.8663314737091762,0.8748679185919767,0.7502022900893195,Denmark,0.043600803704756386,0.044820717243874486,0.008536444882800476,0.025313080726945714
2029,0.9099322774139326,0.9247937081110685,0.7755153708162652,Denmark,0.043600803704756386,0.04992578951909188,0.014861430697135969,0.025313080726945714
2030,0.953533081118689,0.9747937081110686,0.8008284515432038,Denmark,0.043600803704756386,0.050000000000000044,0.021260626992379628,0.025313080726938608
2031,0.9971338848234453,1.0,0.8261415322701495,Denmark,0.043600803704756386,0.02520629188893142,0.002866115176554662,0.025313080726945714
2032,1.0,1.0,0.8514546129970952,Denmark,0.002866115176554662,0.0,0.0,0.025313080726945714
2033,1.0,1.0,0.876767693724041,Denmark,0.0,0.0,0.0,0.025313080726945714
2034,1.0,1.0,0.9020807744509796,Denmark,0.0,0.0,0.0,0.025313080726938608
2035,1.0,1.0,0.9273938551779253,Denmark,0.0,0.0,0.0,0.025313080726945714
2022,0.12509790062847428,0.12509790062847428,0.07949699782306219,Egypt,,,0.0,
2023,0.13671398055049616,0.13671398055049616,0.0764480539407737,Egypt,0.011616079922021877,0.011616079922021877,0.0,-0.0030489438822884907
2024,0.14833006047251804,0.1480553232278738,0.0733991100584852,Egypt,0.011616079922021877,0.01134134267737763,-0.0002747372446442464,-0.0030489438822884907
2025,0.15994614039453992,0.15946569785680478,0.07035016617619583,Egypt,0.011616079922021877,0.011410374628930992,-0.0004804425377351318,-0.003048943882289379
2026,0.1715622203165618,0.17172754641650917,0.06730122229390734,Egypt,0.011616079922021877,0.012261848559704386,0.00016532609994737713,-0.0030489438822884907
2027,0.18317830023858367,0.1845256982107886,0.06425227841161885,Egypt,0.011616079922021877,0.012798151794279428,0.0013473979722049279,-0.0030489438822884907
2028,0.19479438016060555,0.19768810884193713,0.061203334529330355,Egypt,0.011616079922021877,0.013162410631148536,0.0028937286813315866,-0.0030489438822884907
2029,0.20641046008262742,0.21030557899071367,0.058154390647041865,Egypt,0.011616079922021877,0.012617470148776538,0.003895118908086248,-0.0030489438822884907
2030,0.2180265400046493,0.22248341802160956,0.055105446764752486,Egypt,0.011616079922021877,0.012177839030895893,0.004456878016960264,-0.003048943882289379
2031,0.22964261992667118,0.2348331029158776,0.052056502882463995,Egypt,0.011616079922021877,0.012349684894268048,0.005190482989206435,-0.0030489438822884907
2032,0.24125869984869305,0.24717885112395416,0.049007559000175505,Egypt,0.011616079922021877,0.012345748208076546,0.005920151275261104,-0.0030489438822884907
2033,0.25287477977071493,0.2596332384676922,0.045958615117887014,Egypt,0.011616079922021877,0.01245438734373805,0.006758458696977276,-0.0030489438822884907
2034,0.26449085969273683,0.2723078996429191,0.04290967123559852,Egypt,0.011616079922021905,0.01267466117522692,0.007817039950182292,-0.0030489438822884907
2035,0.27610693961475874,0.28498256081814605,0.03986072735331003,Egypt,0.011616079922021905,0.01267466117522692,0.008875621203387307,-0.0030489438822884907
2022,0.14405641370047012,0.14405641370047012,0.11730775383798786,Estonia,,,0.0,
2023,0.1443784835244526,0.1443784835244526,0.12379420642041872,Estonia,0.00032206982398247375,0.00032206982398247375,0.0,0.006486452582430857
2024,0.14470055334843507,0.14550310009455994,0.13028065900285135,Estonia,0.00032206982398247375,0.0011246165701073452,0.0008025467461248714,0.0064864525824326336
2025,0.14502262317241754,0.15006370310266265,0.13676711158528398,Estonia,0.00032206982398247375,0.004560603008102709,0.005041079930245107,0.0064864525824326336
2026,0.14534469299640002,0.1560052514785551,0.14325356416771484,Estonia,0.00032206982398247375,0.005941548375892447,0.01066055848215508,0.006486452582430857
2027,0.1456667628203825,0.16230674010236695,0.14974001675014748,Estonia,0.00032206982398247375,0.006301488623811857,0.016639977281984464,0.0064864525824326336
2028,0.14598883264436496,0.16937266565972886,0.15622646933257833,Estonia,0.00032206982398247375,0.007065925557361907,0.023383833015363897,0.006486452582430857
2029,0.14631090246834744,0.18047791819595646,0.16271292191501097,Estonia,0.00032206982398247375,0.0111052525362276,0.034167015727609024,0.0064864525824326336
2030,0.1466329722923299,0.1897933485288969,0.1691993744974436,Estonia,0.00032206982398247375,0.009315430332940439,0.04316037623656699,0.0064864525824326336
2031,0.14695504211631238,0.19843569325494842,0.17568582707987446,Estonia,0.00032206982398247375,0.00864234472605152,0.051480651138636035,0.006486452582430857
